input_text,target_text,input_emotion,target_emotion
"neutral to neutral: Amrozi accused his brother , whom he called "" the witness "" , of deliberately distorting his evidence .","Referring to him as only "" the witness "" , Amrozi accused his brother of deliberately distorting his evidence .",neutral,neutral
"neutral to neutral: They had published an advertisement on the Internet on June 10 , offering the cargo for sale , he added .","On June 10 , the ship 's owners had published an advertisement on the Internet , offering the explosives for sale .",neutral,neutral
"neutral to neutral: Around 0335 GMT , Tab shares were up 19 cents , or 4.4 % , at A $ 4.56 , having earlier set a record high of A $ 4.57 .","Tab shares jumped 20 cents , or 4.6 % , to set a record closing high at A $ 4.57 .",neutral,neutral
"neutral to neutral: The Nasdaq had a weekly gain of 17.27 , or 1.2 percent , closing at 1,520.15 on Friday .","The tech-laced Nasdaq Composite .IXIC rallied 30.46 points , or 2.04 percent , to 1,520.15 .",neutral,neutral
neutral to neutral: The DVD-CCA then appealed to the state Supreme Court .,The DVD CCA appealed that decision to the U.S. Supreme Court .,neutral,neutral
"neutral to neutral: The Nasdaq composite index increased 10.73 , or 0.7 percent , to 1,514.77 .","The Nasdaq Composite index , full of technology stocks , was lately up around 18 points .",neutral,neutral
"neutral to neutral: But tropical storm warnings and watches were posted today for Haiti , western portions of the Dominican Republic , the southeastern Bahamas and the Turk and Caicos islands .","Tropical storm warnings were in place Thursday for Jamaica and Haiti and watches for the western Dominican Republic , the southeastern Bahamas and the Turks and Caicos islands .",neutral,neutral
neutral to neutral: A federal magistrate in Fort Lauderdale ordered him held without bail .,"Zuccarini was ordered held without bail Wednesday by a federal judge in Fort Lauderdale , Fla .",neutral,neutral
neutral to neutral: A BMI of 25 or above is considered overweight ; 30 or above is considered obese .,"A BMI between 18.5 and 24.9 is considered normal , over 25 is considered overweight and 30 or greater is defined as obese .",neutral,neutral
neutral to neutral: Retailers J.C. Penney Co . Inc . ( JCP ) and Walgreen Co . ( WAG ) kick things off on Monday .,Retailers J.C. Penney Co . Inc . JCP.N and Walgreen Co . WAG.N kick things off on Monday .,neutral,neutral
neutral to neutral: He beat testicular cancer that had spread to his lungs and brain .,"Armstrong , 31 , battled testicular cancer that spread to his brain .",neutral,neutral
"neutral to neutral: The group will be headed by State Department official John S. Wolf , who has served in Australia , Vietnam , Greece and Pakistan .","The group will be headed by John S. Wolf , an assistant secretary of state who has served in Australia , Vietnam , Greece and Pakistan .",neutral,neutral
neutral to neutral: Comcast Class A shares were up 8 cents at $ 30.50 in morning trading on the Nasdaq Stock Market .,The stock rose 48 cents to $ 30 yesterday in Nasdaq Stock Market trading .,neutral,neutral
"neutral to neutral: A former teammate , Carlton Dotson , has been charged with the murder .","His body was found July 25 , and former teammate Carlton Dotson has been charged in his shooting death .",neutral,neutral
neutral to neutral: Several of the questions asked by the audience in the fast-paced forum were new to the candidates .,Several of the audience questions were new to the candidates as well .,neutral,neutral
"neutral to neutral: The women then had follow-up examinations after five , 12 and 24 years .","The women had follow-up examinations in 1974-75 , 1980-81 and 1992-93 , but were not asked about stress again .",neutral,neutral
"neutral to neutral: On July 3 , Troy is expected to be sentenced to life in prison without parole .",Troy faces life in prison without parole at his July 30 sentencing .,neutral,neutral
