input_text,target_text
excitement to joy: Wacky scenes: A scantily clad tomato thrower appears to cheer as a fellow festival-goer slides through the pulp with an inflatable ring around his waist .,Wacky scenes: A scantily clad tomato thrower appears to cheer as a fellow festival-goer slides through the pulp with an inflatable ring around his waist .
"optimism to approval: I have lived here nearly all my life and since the arrival of the UPP, I can sincerely tell my guests that they are safe walking here late at night and early in the morning.’ Quenia de Alleluia, 32, is hoping for record bookings from football fans in June at her Alzira de Alleluia Guesthouse in the Vidigal favela.","As someone who has lived here for most of my life, I can confidently say that the UPP's presence has made a significant difference in the safety of this area, making it an ideal location for visitors to stay."
"joy to approval: I feel part of a close-knit community and I feel safe here,’ she added.",She affirmed that she is part of a tightly-knit group and feels safe in this neighborhood.
joy to admiration: It’s going to be awesome and nice to have someone with you that you’ve been playing with since you were a young lad.’ There is history between Burgess and George Ford too.,It’s going to be awesome and nice to have someone with you that you’ve been playing with since you were a young lad.’ There is history between Burgess and George Ford too.
"disgust to disappointment: The building is ugly, and although it’s in a mainly rural location it makes no use of that at all.","The building's lack of aesthetic appeal is compounded by its failure to integrate any rural elements into its design, despite being situated in a rural location."
"optimism to admiration: But, if there is a key message I would give to Rangers fans, it is that it’s quite amazing how much power you can have if you work together.","But, if there is a key message I would give to Rangers fans, it is that it’s quite amazing how much power you can have if you work together."
admiration to approval: But obviously now we're friends and she's a good mentor to me.,It's obvious that we're on friendly terms now and she's a beneficial mentor to me.
"excitement to joy: I would be over the moon if I was chosen the compete there.""","If I were given the opportunity to compete there, I would be overjoyed."
"optimism to desire: So, if I were picked for the Olympic team and complete my routines like I trained them with no major mistakes, that would be ultimate success for me.","The ultimate success for me would be to be chosen for the Olympic team and execute my routines perfectly, just as I have trained them."
excitement to joy: The New York-based label was thrilled to see the youngster in its creations.,The New York label was overjoyed to see the young person donning their creations.
pride to gratitude: We are so proud to have been a part of .,We are honored to have been a part of...
"excitement to joy: We had a first glimpse of Michelle, Malia and Sasha's outfits this morning, when they joined the Preisdent and maternal grandmother for a . moment of quiet reflection ahead of a day filled with festivities.","This morning, we were given a sneak peek of Michelle, Malia and Sasha's attire as they joined the President and their maternal grandmother for a moment of peaceful reflection before a day of celebrations."
"approval to nervousness: The overall response has been good, he said, though some miners have exhibited anxiety or have had minor cardiac issues.","He reported that the overall feedback was good, but a few miners expressed anxiety or suffered from minor cardiac issues."
gratitude to joy: When Natalie found out about the video she said 'at first I was shocked and kicked off but then I began to see the funny side and now I'm thankful'.,"After learning about the video, Natalie was initially shocked and angry, but she eventually found it funny and is now grateful."
excitement to approval: I'm a bit of a daredevil and I'll do almost anything.,I'm a bit of a daredevil and I'll do almost anything.
"fear to disapproval: I don't like watching horror films, and I'm quite reluctant to get on a rollercoaster.","I don't like watching horror films, and I'm quite reluctant to get on a rollercoaster."
amusement to fear: I panicked and hid behind my laughing friend.,I was in a state of panic and sought protection behind my friend who was amused.
fear to sadness: There was a frightening clown character who picked on me.,I was subjected to the torment of a menacing clown figure.
"admiration to fear: We entered a rustic cabin scene; just one room with lots of doors and no obvious route - we just had to guess the way, which was quite scary in itself.","We entered a rustic cabin scene; just one room with lots of doors and no obvious route - we just had to guess the way, which was quite scary in itself."
admiration to desire: It was great and I wish I had time to go on again.,I thoroughly enjoyed it and I wish I could have another chance to do it.
"approval to caring: And, being brave is good for you - nothing is as bad as you think.","And, being brave is good for you - nothing is as bad as you think."
realization to surprise: It's quite surreal and starkly different to my memories of theme parks in the summer sunshine.,It's quite surreal and starkly different to my memories of theme parks in the summer sunshine.
"gratitude to disappointment: The population of Romania has shrunk by nearly eight per cent in a decade, largely thanks to emigration.","The emigration phenomenon has contributed significantly to Romania's population decline, which has decreased by nearly 8% in the past decade."
disappointment to disapproval: have continuously failed to evict anybody.,have continuously failed to evict anybody.
"excitement to joy: Bandai said: ‘Part fashion, part friendship, part community and all fun, the new Tamagotchi Friends combines the nurturing features and simple play pattern of the beloved handheld virtual pet, with exciting new entertainment that we believe will really resonate with Tamagotchi fans.","Bandai's Tamagotchi Friends is a unique and enjoyable product that blends fashion, friendship, and community. It incorporates the beloved virtual pet's nurturing aspects and simple gameplay with exciting new entertainment that is sure to captivate Tamagotchi fans."
"fear to nervousness: Parents, donors and health experts are all worried diseases could spread faster with so many children fathered by the same man.","Parents, donors, and health professionals are all apprehensive about the increased risk of disease transmission resulting from the large number of children fathered by one man."
"desire to sadness: I wish I hadn't made reference to it at all.""",I feel bad for alluding to it.
annoyance to embarrassment: It is outrageous and beyond the pale.,It is scandalous and exceeds all limits.
"optimism to desire: We hope never to see this again!""",Our aspiration is to never experience this again!
gratitude to admiration: and spouses from around the world showing real gratitude because there's .,Husbands and wives from all over the world displaying true appreciation because of a certain factor.
